935521.686469,1915821.311989
935521.920636,1915821.776117
935522.172881,1915822.284480
935522.433910,1915822.781683
935522.721375,1915823.256495
935523.017794,1915823.742332
935523.287777,1915824.250559
935523.530983,1915824.736805
935523.774103,1915825.211958
935524.017139,1915825.676018
935524.260260,1915826.151171
935524.530157,1915826.648305
935524.773533,1915827.156736
935525.016824,1915827.654075
935525.251246,1915828.151482
935525.538881,1915828.648480
935525.853038,1915829.134181
935526.149456,1915829.620018
935526.463953,1915830.150090
935526.742975,1915830.680435
935527.021911,1915831.199687
935527.256674,1915831.741465
935527.500475,1915832.305360
935527.761930,1915832.858027
935528.014259,1915833.377483
935528.310933,1915833.896599
935528.616476,1915834.415647
935528.904366,1915834.945923
935529.192171,1915835.465107
935529.497798,1915835.995248
935529.821334,1915836.547438
935530.153653,1915837.088467
935530.415107,1915837.641133
935530.712036,1915838.193528
935531.026703,1915838.745786
935531.305979,1915839.309409
935531.585256,1915839.873033
935531.891053,1915840.425359
935532.188153,1915840.999939
935532.485081,1915841.552333
935532.790794,1915842.093567
935533.114244,1915842.634664
935533.428825,1915843.175829
935533.707931,1915843.717267
935534.022512,1915844.258433
935534.266313,1915844.822328
935534.563241,1915845.374723
935534.904514,1915845.926777
935535.201527,1915846.490264
935535.524977,1915847.031362
935535.857466,1915847.594577
935536.172217,1915848.157928
935536.469400,1915848.743601
935536.775368,1915849.318113
935537.063853,1915849.926040
935537.352168,1915850.511781
935537.631614,1915851.097590
935537.937411,1915851.649916
935538.243208,1915852.202243
935538.540136,1915852.754637
935538.836979,1915853.295939
935539.170318,1915853.970083
935539.413438,1915854.445236
935539.791206,1915855.130132
935540.043194,1915855.605217
935540.385573,1915856.301478
935540.700238,1915856.853736
935540.970815,1915857.439614
935541.259044,1915858.014262
935541.556057,1915858.577750
935541.861939,1915859.141169
935542.185473,1915859.693360
935542.491269,1915860.245686
935542.797065,1915860.798013
935543.076425,1915861.372730
935543.382307,1915861.936149
935543.679234,1915862.488544
935544.029289,1915863.029437
935544.361521,1915863.559374
935544.729483,1915864.122317
935545.097276,1915864.663074
935545.491589,1915865.192535
935545.868080,1915865.711038
935546.226577,1915866.196400
935546.602812,1915866.681625
935546.988171,1915867.200060
935547.373701,1915867.740682
935547.732709,1915868.292600
935548.065196,1915868.855816
935548.371503,1915869.474699
935548.642590,1915870.127134
935548.878201,1915870.779841
935549.113557,1915871.399269
935549.339875,1915871.996580
935549.601752,1915872.604712
935549.854846,1915873.224004
935550.134460,1915873.831999
935550.396252,1915874.429038
935550.711172,1915875.014575
935550.990701,1915875.611478
935551.287968,1915876.208244
935551.558714,1915876.816308
935551.847112,1915877.413142
935552.162031,1915877.998680
935552.459128,1915878.573260
935552.729448,1915879.125860
935552.982115,1915879.689688
935553.305733,1915880.252972
935553.629265,1915880.805162
935553.944014,1915881.368514
935554.241195,1915881.954188
935554.538292,1915882.528769
935554.817650,1915883.103486
935555.141182,1915883.655677
935555.429325,1915884.219233
935555.744158,1915884.793677
935556.059162,1915885.390308
935556.391733,1915885.964616
935556.724474,1915886.561111
935557.074868,1915887.146376
935557.416308,1915887.720617
935557.757832,1915888.305950
935558.108311,1915888.902308
935558.458789,1915889.498666
935558.809268,1915890.095025
935559.115402,1915890.691723
935559.439189,1915891.277193
935559.754108,1915891.862730
935560.095462,1915892.425878
935560.427862,1915892.978001
935560.751564,1915893.552378
935561.066482,1915894.137916
935561.381485,1915894.734547
935561.705527,1915895.353295
935562.038523,1915895.983068
935562.452189,1915896.723156
935562.713043,1915897.198174
935563.045698,1915897.783576
935563.360786,1915898.391299
935563.738891,1915899.120568
935564.036412,1915899.750613
935564.316280,1915900.391887
935564.543106,1915901.055755
935564.769932,1915901.719624
935564.934762,1915902.395061
935565.099763,1915903.092685
935565.220419,1915903.790648
935565.314385,1915904.477723
935565.363921,1915905.154045
935565.377897,1915905.819547
935565.347615,1915906.496482
935565.290727,1915907.173621
935565.207062,1915907.828779
935565.070270,1915908.495437
935564.898089,1915909.173461
935564.699045,1915909.818411
935564.482180,1915910.452404
935564.212102,1915911.086805
935563.897339,1915911.677175
935563.537893,1915912.223514
935563.169663,1915912.781014
935562.756749,1915913.294483
935562.334882,1915913.796928
935561.868245,1915914.244248
935561.401438,1915914.669383
935560.890117,1915915.072673
935560.342981,1915915.431863
935559.795674,1915915.768868
935559.230460,1915916.083824
935558.674029,1915916.387619
935558.099691,1915916.669364
935557.516654,1915916.973363
935556.924664,1915917.266337
935556.359280,1915917.559107
935555.891111,1915917.806757
935555.246334,1915918.155604
935554.680694,1915918.415095
935554.088449,1915918.674791
935553.522894,1915918.945376
935552.984117,1915919.237942
935552.463417,1915919.574743
935551.897777,1915919.834235
935551.341092,1915920.104751
935550.757800,1915920.375472
935550.183377,1915920.646125
935549.608955,1915920.916778
935549.017050,1915921.220846
935548.602605,1915921.534644
935547.913825,1915921.928204
935547.383576,1915922.176331
935546.818277,1915922.480194
935546.288284,1915922.761600
935545.775601,1915922.987405
935545.050666,1915923.292494
935544.609445,1915923.584312
935544.044657,1915923.954732
935543.673279,1915924.101799
935542.780690,1915924.519110
935542.277217,1915924.789219
935541.694011,1915925.071033
935541.173227,1915925.396742
935540.607929,1915925.700606
935540.051841,1915926.048773
935539.468976,1915926.374959
935538.912887,1915926.723126
935538.347759,1915927.049176
935537.782802,1915927.397411
935537.226714,1915927.745579
935536.715310,1915928.137777
935536.212519,1915928.496629
935535.718852,1915928.888691
935535.207278,1915929.258704
935534.722480,1915929.650698
935534.167499,1915930.143072
935533.727130,1915930.545819
